# r(dimensionless)denity(g.cm^-3) vel/c		b^r (Gauss)	b^\phi(Gauss)	B(=\sqrt(b_mu b^\mu)G H/r	\beta		Temp (Kelvin)	Omega		v_phi
1000.		9.1551848e-21	0.00061722492	5.9973379e-6	0.000047932595	0.047932348	0.77771881	4.3384285	3.2940911e9	3.2478201e-6	0.0032505727
914.11324	1.0316968e-20	0.00066481372	7.1764206e-6	0.000053268576	0.048693212	0.76687039	5.0389226	3.5037677e9	3.8804794e-6	0.0035504859
912.01084	1.0348648e-20	0.0006660822	7.2095233e-6	0.000053412867	0.048712813	0.76659097	5.0582828	3.5092863e9	3.8982336e-6	0.0035585346
909.91327	1.0380427e-20	0.00066735309	7.2427787e-6	0.000053557553	0.048732426	0.76631152	5.077716	3.5148123e9	3.9160693e-6	0.0035666019
907.82053	1.0412306e-20	0.00066862637	7.2761874e-6	0.000053702633	0.048752049	0.76603204	5.0972226	3.5203458e9	3.9339868e-6	0.0035746876
905.7326	1.0444285e-20	0.00066990204	7.3097501e-6	0.000053848111	0.048771684	0.76575251	5.1168027	3.5258866e9	3.9519866e-6	0.003582792
903.64947	1.0476365e-20	0.0006711801	7.3434677e-6	0.000053993987	0.048791331	0.76547296	5.1364566	3.531435e9	3.9700691e-6	0.003590915
901.57114	1.0508546e-20	0.00067246056	7.3773408e-6	0.000054140264	0.048810991	0.76519337	5.1561845	3.5369908e9	3.9882345e-6	0.0035990567
899.49758	1.0540829e-20	0.0006737434	7.41137e-6	0.000054286942	0.048830664	0.76491375	5.1759867	3.5425542e9	4.0064834e-6	0.0036072171
897.42879	1.0573214e-20	0.00067502863	7.4455562e-6	0.000054434024	0.048850349	0.7646341	5.1958634	3.5481251e9	4.024816e-6	0.0036153963
895.36477	1.0605701e-20	0.00067631625	7.4799001e-6	0.000054581511	0.048870049	0.76435443	5.2158148	3.5537035e9	4.0432328e-6	0.0036235943
893.30548	1.0638291e-20	0.00067760625	7.5144024e-6	0.000054729405	0.048889763	0.76407473	5.2358412	3.5592896e9	4.0617341e-6	0.0036318111
891.25094	1.0670985e-20	0.00067889864	7.5490637e-6	0.000054877707	0.048909492	0.763795	5.2559427	3.5648832e9	4.0803204e-6	0.0036400469
889.20112	1.0703782e-20	0.0006801934	7.5838849e-6	0.000055026419	0.048929236	0.76351526	5.2761198	3.5704845e9	4.098992e-6	0.0036483016
887.15601	1.0736682e-20	0.00068149054	7.6188667e-6	0.000055175543	0.048948995	0.76323549	5.2963725	3.5760934e9	4.1177493e-6	0.0036565753
885.11561	1.0769688e-20	0.00068279006	7.6540098e-6	0.00005532508	0.048968771	0.76295571	5.3167011	3.58171e9	4.1365927e-6	0.003664868
883.0799	1.0802798e-20	0.00068409195	7.689315e-6	0.000055475032	0.048988563	0.7626759	5.3371059	3.5873343e9	4.1555227e-6	0.0036731798
881.04887	1.0836013e-20	0.00068539622	7.724783e-6	0.0000556254	0.049008372	0.76239609	5.3575871	3.5929663e9	4.1745395e-6	0.0036815107
879.02252	1.0869335e-20	0.00068670285	7.7604145e-6	0.000055776187	0.049028199	0.76211626	5.378145	3.598606e9	4.1936437e-6	0.0036898608
877.00082	1.0902762e-20	0.00068801186	7.7962104e-6	0.000055927394	0.049048044	0.76183641	5.3987797	3.6042536e9	4.2128356e-6	0.00369823
874.98378	1.0936296e-20	0.00068932323	7.8321714e-6	0.000056079023	0.049067907	0.76155656	5.4194916	3.6099089e9	4.2321156e-6	0.0037066186
872.97137	1.0969936e-20	0.00069063697	7.8682981e-6	0.000056231075	0.049087788	0.7612767	5.4402808	3.615572e9	4.2514841e-6	0.0037150264
870.96359	1.1003685e-20	0.00069195306	7.9045915e-6	0.000056383552	0.049107689	0.76099682	5.4611477	3.6212429e9	4.2709416e-6	0.0037234536
868.96043	1.1037541e-20	0.00069327152	7.9410523e-6	0.000056536456	0.04912761	0.76071695	5.4820924	3.6269218e9	4.2904884e-6	0.0037319002
866.96188	1.1071505e-20	0.00069459234	7.9776812e-6	0.000056689789	0.049147551	0.76043707	5.5031152	3.6326085e9	4.310125e-6	0.0037403662
864.96792	1.1105578e-20	0.00069591551	8.014479e-6	0.000056843552	0.049167512	0.76015719	5.5242164	3.6383031e9	4.3298517e-6	0.0037488517
862.97855	1.113976e-20	0.00069724104	8.0514465e-6	0.000056997748	0.049187495	0.7598773	5.5453961	3.6440056e9	4.349669e-6	0.0037573567
860.99375	1.1174051e-20	0.00069856892	8.0885845e-6	0.000057152377	0.049207499	0.75959742	5.5666547	3.6497161e9	4.3695773e-6	0.0037658813
859.01352	1.1208453e-20	0.00069989914	8.1258938e-6	0.000057307441	0.049227525	0.75931754	5.5879924	3.6554346e9	4.389577e-6	0.0037744255
857.03785	1.1242965e-20	0.00070123172	8.1633751e-6	0.000057462944	0.049247574	0.75903766	5.6094094	3.6611611e9	4.4096686e-6	0.0037829893
855.06671	1.1277588e-20	0.00070256664	8.2010292e-6	0.000057618885	0.049267645	0.75875779	5.6309059	3.6668956e9	4.4298524e-6	0.0037915729
853.10011	1.1312322e-20	0.0007039039	8.238857e-6	0.000057775267	0.04928774	0.75847793	5.6524823	3.6726382e9	4.4501289e-6	0.0038001762
851.13804	1.1347168e-20	0.0007052435	8.2768593e-6	0.000057932092	0.049307859	0.75819808	5.6741388	3.6783888e9	4.4704986e-6	0.0038087994
849.18048	1.1382126e-20	0.00070658543	8.3150367e-6	0.000058089362	0.049328002	0.75791823	5.6958756	3.6841476e9	4.4909617e-6	0.0038174423
847.22741	1.1417197e-20	0.0007079297	8.3533903e-6	0.000058247078	0.049348169	0.7576384	5.7176929	3.6899145e9	4.5115189e-6	0.0038261052
845.27885	1.1452381e-20	0.00070927631	8.3919207e-6	0.000058405243	0.049368362	0.75735858	5.739591	3.6956895e9	4.5321704e-6	0.003834788
843.33476	1.1487679e-20	0.00071062524	8.4306288e-6	0.000058563857	0.049388581	0.75707878	5.7615702	3.7014727e9	4.5529168e-6	0.0038434908
841.39514	1.152309e-20	0.0007119765	8.4695154e-6	0.000058722924	0.049408825	0.75679899	5.7836308	3.7072641e9	4.5737585e-6	0.0038522136
839.45999	1.1558616e-20	0.00071333008	8.5085813e-6	0.000058882444	0.049429096	0.75651922	5.8057728	3.7130637e9	4.5946958e-6	0.0038609565
837.52928	1.1594258e-20	0.00071468599	8.5478274e-6	0.00005904242	0.049449395	0.75623947	5.8279967	3.7188716e9	4.6157294e-6	0.0038697195
835.60302	1.1630014e-20	0.00071604421	8.5872544e-6	0.000059202853	0.04946972	0.75595974	5.8503026	3.7246878e9	4.6368595e-6	0.0038785027
833.68118	1.1665887e-20	0.00071740475	8.6268633e-6	0.000059363746	0.049490074	0.75568004	5.8726909	3.7305122e9	4.6580867e-6	0.0038873061
831.76377	1.1701876e-20	0.0007187676	8.6666548e-6	0.0000595251	0.049510456	0.75540036	5.8951617	3.736345e9	4.6794113e-6	0.0038961297
829.85077	1.1737981e-20	0.00072013277	8.7066298e-6	0.000059686918	0.049530867	0.7551207	5.9177153	3.7421861e9	4.7008339e-6	0.0039049737
827.94216	1.1774204e-20	0.00072150024	8.7467892e-6	0.0000598492	0.049551307	0.75484107	5.940352	3.7480357e9	4.7223549e-6	0.003913838
826.03795	1.1810545e-20	0.00072287002	8.7871337e-6	0.00006001195	0.049571776	0.75456148	5.9630721	3.7538936e9	4.7439748e-6	0.0039227228
824.13812	1.1847004e-20	0.00072424209	8.8276643e-6	0.000060175169	0.049592276	0.75428191	5.9858756	3.7597599e9	4.7656939e-6	0.003931628
822.24265	1.1883582e-20	0.00072561647	8.8683818e-6	0.000060338858	0.049612807	0.75400237	6.0087631	3.7656347e9	4.7875128e-6	0.0039405537
820.35154	1.1920279e-20	0.00072699314	8.909287e-6	0.000060503021	0.049633369	0.75372287	6.0317345	3.771518e9	4.8094319e-6	0.0039494999
818.46479	1.1957096e-20	0.00072837211	8.9503809e-6	0.000060667658	0.049653963	0.7534434	6.0547904	3.7774098e9	4.8314517e-6	0.0039584667
816.58237	1.1994033e-20	0.00072975337	8.9916643e-6	0.000060832772	0.049674588	0.75316397	6.0779308	3.7833101e9	4.8535726e-6	0.0039674542
814.70428	1.2031091e-20	0.00073113691	9.0331381e-6	0.000060998365	0.049695246	0.75288458	6.1011561	3.789219e9	4.8757951e-6	0.0039764624
812.83052	1.206827e-20	0.00073252274	9.0748031e-6	0.000061164438	0.049715937	0.75260522	6.1244664	3.7951364e9	4.8981197e-6	0.0039854913
810.96106	1.210557e-20	0.00073391084	9.1166602e-6	0.000061330994	0.049736661	0.75232591	6.1478622	3.8010625e9	4.9205469e-6	0.003994541
809.0959	1.2142993e-20	0.00073530123	9.1587104e-6	0.000061498035	0.04975742	0.75204664	6.1713435	3.8069972e9	4.943077e-6	0.0040036116
807.23503	1.2180538e-20	0.00073669389	9.2009544e-6	0.000061665563	0.049778212	0.75176741	6.1949107	3.8129405e9	4.9657107e-6	0.004012703
805.37844	1.2218207e-20	0.00073808882	9.2433933e-6	0.00006183358	0.04979904	0.75148823	6.2185641	3.8188926e9	4.9884483e-6	0.0040218154
803.52612	1.2255999e-20	0.00073948601	9.2860279e-6	0.000062002087	0.049819902	0.7512091	6.2423038	3.8248534e9	5.0112904e-6	0.0040309487
801.67806	1.2293916e-20	0.00074088548	9.328859e-6	0.000062171088	0.049840801	0.75093002	6.2661302	3.8308229e9	5.0342373e-6	0.0040401031
799.83426	1.2331957e-20	0.0007422872	9.3718877e-6	0.000062340583	0.049861735	0.75065098	6.2900435	3.8368011e9	5.0572897e-6	0.0040492785
797.99469	1.2370124e-20	0.00074369118	9.4151148e-6	0.000062510575	0.049882706	0.750372	6.3140439	3.8427882e9	5.080448e-6	0.0040584751
796.15935	1.2408416e-20	0.00074509742	9.4585412e-6	0.000062681066	0.049903715	0.75009307	6.3381318	3.8487841e9	5.1037127e-6	0.0040676929
794.32823	1.2446834e-20	0.0007465059	9.5021679e-6	0.000062852059	0.049924761	0.74981419	6.3623073	3.8547888e9	5.1270843e-6	0.0040769318
792.50133	1.2485379e-20	0.00074791664	9.5459957e-6	0.000063023554	0.049945844	0.74953537	6.3865708	3.8608025e9	5.1505632e-6	0.0040861921
790.67863	1.2524052e-20	0.00074932962	9.5900256e-6	0.000063195555	0.049966967	0.7492566	6.4109225	3.866825e9	5.1741499e-6	0.0040954737
788.86012	1.2562852e-20	0.00075074484	9.6342586e-6	0.000063368064	0.049988128	0.7489779	6.4353627	3.8728564e9	5.197845e-6	0.0041047766
787.04579	1.2601781e-20	0.00075216229	9.6786956e-6	0.000063541082	0.050009328	0.74869925	6.4598916	3.8788968e9	5.221649e-6	0.004114101
785.23563	1.2640838e-20	0.00075358198	9.7233374e-6	0.000063714611	0.050030569	0.74842067	6.4845094	3.8849462e9	5.2455623e-6	0.0041234469
783.42964	1.2680025e-20	0.0007550039	9.7681851e-6	0.000063888655	0.05005185	0.74814215	6.5092166	3.8910046e9	5.2695855e-6	0.0041328143
781.6278	1.2719342e-20	0.00075642804	9.8132396e-6	0.000064063214	0.050073171	0.74786369	6.5340132	3.8970721e9	5.2937191e-6	0.0041422032
779.83011	1.2758789e-20	0.00075785441	9.8585019e-6	0.000064238292	0.050094534	0.7475853	6.5588996	3.9031486e9	5.3179635e-6	0.0041516138
778.03655	1.2798367e-20	0.000759283	9.9039729e-6	0.00006441389	0.050115938	0.74730697	6.5838761	3.9092342e9	5.3423193e-6	0.0041610461
776.24712	1.2838077e-20	0.0007607138	9.9496535e-6	0.00006459001	0.050137384	0.74702872	6.6089429	3.9153289e9	5.366787e-6	0.0041705
774.4618	1.2877919e-20	0.00076214681	9.9955448e-6	0.000064766656	0.050158874	0.74675053	6.6341002	3.9214328e9	5.3913671e-6	0.0041799758
772.68059	1.2917893e-20	0.00076358203	0.000010041648	0.000064943828	0.050180406	0.74647242	6.6593484	3.9275458e9	5.4160602e-6	0.0041894734
770.90347	1.2958001e-20	0.00076501945	0.000010087963	0.000065121529	0.050201981	0.74619437	6.6846877	3.933668e9	5.4408666e-6	0.0041989928
769.13044	1.2998242e-20	0.00076645907	0.000010134492	0.000065299761	0.050223601	0.74591641	6.7101183	3.9397995e9	5.4657871e-6	0.0042085342
767.36149	1.3038618e-20	0.00076790089	0.000010181236	0.000065478527	0.050245265	0.74563851	6.7356406	3.9459403e9	5.490822e-6	0.0042180975
765.59661	1.3079128e-20	0.0007693449	0.000010228195	0.000065657829	0.050266974	0.7453607	6.7612548	3.9520903e9	5.515972e-6	0.0042276829
763.83578	1.3119774e-20	0.00077079109	0.000010275371	0.000065837669	0.050288728	0.74508296	6.7869612	3.9582497e9	5.5412375e-6	0.0042372904
762.07901	1.3160556e-20	0.00077223947	0.000010322764	0.00006601805	0.050310528	0.7448053	6.8127599	3.9644184e9	5.5666192e-6	0.00424692
760.32628	1.3201474e-20	0.00077369003	0.000010370376	0.000066198972	0.050332374	0.74452772	6.8386514	3.9705964e9	5.5921174e-6	0.0042565717
758.57758	1.3242529e-20	0.00077514277	0.000010418207	0.00006638044	0.050354267	0.74425023	6.8646359	3.9767839e9	5.6177328e-6	0.0042662457
756.8329	1.3283722e-20	0.00077659767	0.000010466259	0.000066562455	0.050376207	0.74397282	6.8907136	3.9829808e9	5.6434658e-6	0.004275942
755.09223	1.3325054e-20	0.00077805475	0.000010514532	0.00006674502	0.050398195	0.74369549	6.9168848	3.9891872e9	5.6693171e-6	0.0042856606
753.35556	1.3366524e-20	0.00077951399	0.000010563028	0.000066928136	0.050420231	0.74341825	6.9431498	3.995403e9	5.6952872e-6	0.0042954017
751.62289	1.3408133e-20	0.00078097538	0.000010611748	0.000067111807	0.050442315	0.7431411	6.9695088	4.0016284e9	5.7213766e-6	0.0043051651
749.89421	1.3449882e-20	0.00078243893	0.000010660692	0.000067296033	0.050464448	0.74286403	6.9959621	4.0078633e9	5.7475859e-6	0.004314951
748.1695	1.3491772e-20	0.00078390463	0.000010709862	0.000067480819	0.050486631	0.74258706	7.0225101	4.0141078e9	5.7739157e-6	0.0043247595
746.44876	1.3533803e-20	0.00078537248	0.000010759259	0.000067666166	0.050508864	0.74231018	7.0491529	4.0203619e9	5.8003664e-6	0.0043345906
744.73197	1.3575976e-20	0.00078684247	0.000010808883	0.000067852077	0.050531147	0.74203339	7.0758908	4.0266256e9	5.8269386e-6	0.0043444443
743.01914	1.3618291e-20	0.00078831459	0.000010858736	0.000068038553	0.05055348	0.74175669	7.1027241	4.032899e9	5.8536329e-6	0.0043543208
741.31024	1.3660748e-20	0.00078978885	0.00001090882	0.000068225598	0.050575865	0.74148009	7.1296531	4.0391821e9	5.8804499e-6	0.0043642199
739.60528	1.370335e-20	0.00079126524	0.000010959134	0.000068413214	0.050598302	0.74120359	7.156678	4.0454749e9	5.9073902e-6	0.0043741419
737.90423	1.3746095e-20	0.00079274375	0.00001100968	0.000068601402	0.050620791	0.74092718	7.1837992	4.0517774e9	5.9344542e-6	0.0043840868
736.2071	1.3788985e-20	0.00079422438	0.000011060459	0.000068790167	0.050643333	0.74065088	7.2110169	4.0580897e9	5.9616426e-6	0.0043940545
734.51387	1.383202e-20	0.00079570712	0.000011111472	0.000068979509	0.050665928	0.74037467	7.2383313	4.0644119e9	5.9889559e-6	0.0044040452
732.82453	1.3875201e-20	0.00079719198	0.000011162721	0.000069169432	0.050688576	0.74009857	7.2657428	4.0707438e9	6.0163947e-6	0.004414059
731.13908	1.3918529e-20	0.00079867894	0.000011214205	0.000069359938	0.050711278	0.73982257	7.2932515	4.0770857e9	6.0439596e-6	0.0044240958
729.45751	1.3962004e-20	0.000800168	0.000011265928	0.000069551029	0.050734035	0.73954667	7.3208579	4.0834374e9	6.0716512e-6	0.0044341557
727.7798	1.4005626e-20	0.00080165916	0.000011317888	0.000069742709	0.050756847	0.73927088	7.3485622	4.0897991e9	6.09947e-6	0.0044442388
726.10596	1.4049397e-20	0.00080315242	0.000011370088	0.000069934978	0.050779714	0.7389952	7.3763645	4.0961707e9	6.1274167e-6	0.0044543452
724.43596	1.4093317e-20	0.00080464775	0.000011422529	0.000070127841	0.050802636	0.73871962	7.4042653	4.1025523e9	6.1554918e-6	0.0044644748
722.7698	1.4137386e-20	0.00080614517	0.000011475212	0.000070321299	0.050825616	0.73844415	7.4322648	4.108944e9	6.1836959e-6	0.0044746277
721.10748	1.4181606e-20	0.00080764467	0.000011528138	0.000070515354	0.050848651	0.7381688	7.4603633	4.1153456e9	6.2120297e-6	0.0044848041
719.44898	1.4225976e-20	0.00080914624	0.000011581307	0.000070710011	0.050871745	0.73789355	7.488561	4.1217574e9	6.2404936e-6	0.0044950039
717.79429	1.4270498e-20	0.00081064988	0.000011634722	0.00007090527	0.050894895	0.73761842	7.5168582	4.1281792e9	6.2690883e-6	0.0045052272
716.14341	1.4315172e-20	0.00081215559	0.000011688383	0.000071101135	0.050918104	0.73734341	7.5452553	4.1346112e9	6.2978145e-6	0.0045154741
714.49633	1.4359999e-20	0.00081366335	0.000011742292	0.000071297609	0.050941371	0.7370685	7.5737524	4.1410534e9	6.3266726e-6	0.0045257445
712.85303	1.4404979e-20	0.00081517316	0.000011796449	0.000071494693	0.050964698	0.73679372	7.6023499	4.1475058e9	6.3556634e-6	0.0045360387
